STAGE 1 -- all inequivalent 3 x weight-8 classes

raw solutions 10341, inequivalent classes 1057

idx    |U_3|     minwt   raw        column-type counts
322    11350     8       3          0 0 0 0 1 1 3 3 2 0 0 2 0 2 0 
323    11350     8       3          0 0 0 0 1 1 3 3 2 0 0 2 2 0 0 
324    11350     8       6          0 0 0 2 1 1 1 3 0 0 4 0 0 0 2 
325    11350     8       6          0 0 0 2 1 1 1 3 0 0 2 2 0 2 0 
326    11350     8       6          0 0 0 2 1 1 1 3 0 0 2 2 0 0 2 
327    11350     8       6          0 0 0 2 0 2 2 2 0 0 4 0 0 2 0 
328    11350     8       3          0 0 0 2 0 2 2 2 0 0 2 0 2 2 0 
329    11350     8       6          0 0 0 2 0 2 2 2 0 0 2 0 0 2 2 
330    11350     8       6          0 0 0 1 0 1 3 3 1 1 1 1 0 2 0 
331    11350     8       6          0 0 0 1 0 1 4 2 1 1 0 0 1 3 0 
332    11350     8       6          0 0 0 1 0 2 2 3 1 0 2 1 0 1 1 
333    11350     8       3          0 0 0 1 0 2 2 3 3 0 0 1 0 1 1 
334    11350     8       6          0 0 0 1 0 2 3 2 1 0 1 0 1 2 1 
335    11350     8       6          0 0 0 1 0 2 3 2 1 0 1 0 3 0 1 
336    11350     8       6          0 0 0 1 1 1 2 3 1 0 1 2 1 0 1 
337    11350     8       6          0 0 0 1 1 1 2 3 1 0 3 0 1 0 1 
338    11350     8       3          0 0 1 1 1 1 2 2 0 0 0 2 2 2 0 
339    11350     8       3          0 0 1 1 1 1 1 3 0 0 1 3 1 1 0 
340    11350     8       6          1 0 0 0 0 0 2 3 1 1 1 3 0 2 0 
