q,n,M,usable
7,87,7.043434504927504e-05,True
7,88,0.0001002496713036205,True
7,89,0.00012869245794144835,True
7,90,0.00020496675882408777,True
7,91,0.0006760526710199999,True
7,92,0.00041430187899371695,True
7,93,0.00022991919195991528,True
7,94,0.00025235877523432926,True
7,95,0.0002737496267879447,True
7,96,0.0002941365047244293,True
7,97,0.003921102425706979,True
7,98,0.00033206638221960905,True
7,99,0.0003496882884596042,True
7,100,0.0003302238092315335,True
8,2,0.0,False
8,3,-1.1102230246251565e-16,False
8,4,0.05187968740985549,True
8,5,0.04292374598498183,True
8,6,0.044524566908844876,True
8,7,0.039274441837801266,True
8,8,0.03808577294462734,True
8,9,0.034673057105771066,True
8,10,0.033254340448009345,True
8,11,0.030847592975170035,True
8,12,0.029570395274086447,True
8,13,0.02777281439970103,True
8,14,0.02667863267764725,True
8,15,0.022213318758048772,True
8,16,0.022403408919375645,True
8,17,0.01980020543282479,True
8,18,0.020151529440510574,True
8,19,0.01918342952530927,True
8,20,0.018302341228706775,True
8,21,0.01749731781958197,True
8,22,0.016759116932068774,True
8,23,0.01607989595828907,True
8,24,0.016274484652567645,True
8,25,0.015673088532157542,True
8,26,0.015113877763813122,True
8,27,0.01459264939942817,True
8,28,0.014105726884614755,True
8,29,0.013649882961488835,True
8,30,0.01322227506644924,True
8,31,0.012820391108346096,True
8,32,0.012965286953074417,True
8,33,0.012085132433870327,True
8,34,0.011748009795977676,True
8,35,0.01142905503833025,True
8,36,0.011608328640219767,True
8,37,0.010840118490170414,True
8,38,0.011030165547326165,True
8,39,0.010308585204981902,True
8,40,0.010506441974067693,True
8,41,0.010262668656047857,True
8,42,0.010029877684795352,True
8,43,0.009807348862905796,True
8,44,0.00959442305568825,True
8,45,0.009390495923174536,True
8,46,0.009195012398579339,True
8,47,0.009007461813218987,True
8,48,0.008827373582588227,True
8,49,0.008654313380679346,True
8,50,0.00848787974007481,True
8,51,0.008327701024171241,True
8,52,0.008173432725370522,True
8,53,0.008024755049422794,True
8,54,0.007881370751497974,True
8,55,0.007743003194167097,True
8,56,0.007609394601401198,True
8,57,0.007480304486058409,True
8,58,0.007355508231218,True
8,59,0.007234795808197525,True
8,60,0.007117970616226765,True
8,61,0.007004848430599342,True
8,62,0.006895256447716935,True
8,63,0.00678903241682427,True
8,64,0.0066860238494361734,True
8,65,0.006832355548682001,True
8,66,0.00470517662947223,True
8,67,0.00024008802690156372,True
8,68,-1.1102230246251565e-16,False
8,69,3.303623208228412e-05,True
8,70,-1.1102230246251565e-16,False
8,71,1.1102230246251565e-16,False
8,72,0.00038486817946581375,True
8,73,0.00039693684133246254,True
8,74,0.00026139318861506666,True
8,75,0.00041817788120268595,True
8,76,1.1102230246251565e-16,False
8,77,-1.1102230246251565e-16,False
8,78,0.0,False
8,79,0.0002371227587953939,True
8,80,0.0,False
8,81,1.1102230246251565e-16,False
8,82,-1.1102230246251565e-16,False
8,83,0.0,False
8,84,-1.1102230246251565e-16,False
8,85,0.0001433659718346192,True
8,86,0.0005397396776841701,True
8,87,0.00032706323409492644,True
8,88,0.0003350987199453037,True
8,89,0.00034253875587697546,True
8,90,0.0,False
8,91,0.0,False
8,92,-1.1102230246251565e-16,False
8,93,1.3409092293303893e-05,True
8,94,2.8085110140740888e-05,True
8,95,0.0,False
8,96,5.520597333197319e-05,True
8,97,6.771514944492463e-05,True
8,98,7.956374162265689e-05,True
8,99,9.078010015484139e-05,True
8,100,1.1102230246251565e-16,False
