q,n,k,d,label,delta_avg,delta_max,C,C_prime,D,past_peak,uniform
2,106,104,2,"[[106,104,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,107,98,3,"[[107,98,3]]_2",0.7217030114226376,0.7850467289719626,0.0042528187136597895,0.005191752170182751,0.0009389334565229612,True,False
2,108,99,3,"[[108,99,3]]_2",0.7448559670781892,0.7777777777777778,0.006203049403475491,0.0076758199442045205,0.0014727705407290292,True,False
2,108,106,2,"[[108,106,2]]_2",1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,True
2,109,100,3,"[[109,100,3]]_2",0.7339449541284404,0.8073394495412844,-0.0013082345199073586,0.0048993428332039235,0.006207577353111282,True,False
2,110,101,3,"[[110,101,3]]_2",0.7494949494949494,0.7636363636363637,0.008879034820068576,0.009240715453892046,0.00036168063382346904,True,False
2,110,108,2,"[[110,108,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,111,102,3,"[[111,102,3]]_2",0.7217217217217218,0.7567567567567568,0.005830970723838758,0.004417370344623195,-0.0014136003792155627,True,False
2,112,103,3,"[[112,103,3]]_2",0.75,0.7678571428571429,0.008440059505458342,0.009063609700001751,0.0006235501945434097,True,False
2,112,110,2,"[[112,110,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,113,104,3,"[[113,104,3]]_2",0.7266470009832842,0.8053097345132744,-0.0015248390222980523,0.0036635579742189117,0.005188396996516964,True,False
2,114,105,3,"[[114,105,3]]_2",0.7485380116959064,0.7719298245614035,0.006559633437877022,0.007499621262054612,0.0009399878241775905,True,False
2,114,112,2,"[[114,112,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,115,106,3,"[[115,106,3]]_2",0.7342995169082126,0.782608695652174,0.0042237554584680925,0.005865539293375632,0.0016417838349075398,True,False
2,116,107,3,"[[116,107,3]]_2",0.7452107279693486,0.7586206896551724,0.008881651225564058,0.008981787515008333,0.00010013628944427477,True,False
2,116,114,2,"[[116,114,2]]_2",1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,True
2,117,108,3,"[[117,108,3]]_2",0.7454890788224122,0.7863247863247863,0.002815447929031545,0.005404163927642869,0.002588715998611324,True,False
2,118,109,3,"[[118,109,3]]_2",0.7354048964218455,0.7966101694915254,-0.0003181505468980994,0.0036505251541119055,0.003968675701010005,True,False
2,118,116,2,"[[118,116,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,119,110,3,"[[119,110,3]]_2",0.7450980392156863,0.773109243697479,0.003515352515178094,0.004518903209603908,0.0010035506944258143,True,False
2,120,111,3,"[[120,111,3]]_2",0.75,0.75,0.014900066269811663,0.014900066269811663,0.0,False,True
2,120,118,2,"[[120,118,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,121,112,3,"[[121,112,3]]_2",0.7566574839302113,0.7768595041322314,0.004465906186325808,0.005803226248973226,0.001337320062647418,True,False
2,122,113,3,"[[122,113,3]]_2",0.761384335154827,0.7950819672131147,0.00023727428106690152,0.004069939200566752,0.0038326649194998508,True,False
2,122,120,2,"[[122,120,2]]_2",1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,True
2,123,114,3,"[[123,114,3]]_2",0.7570009033423668,0.7804878048780488,0.003968736953834373,0.00571401620356482,0.001745279249730447,True,False
2,124,115,3,"[[124,115,3]]_2",0.7347670250896058,0.782258064516129,0.003129429777050552,0.004752631168560284,0.001623201391509732,True,False
2,124,122,2,"[[124,122,2]]_2",1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,True
2,125,116,3,"[[125,116,3]]_2",0.7386666666666666,0.776,0.002897904247230909,0.003985595674850462,0.0010876914276195526,True,False
2,126,117,3,"[[126,117,3]]_2",0.7433862433862434,0.7857142857142857,0.001671145145313746,0.00412602269255169,0.0024548775472379436,True,False
2,126,124,2,"[[126,124,2]]_2",1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,True
2,127,118,3,"[[127,118,3]]_2",0.7541557305336832,0.8031496062992126,-0.0005894532261104812,0.005104207456497201,0.005693660682607682,True,False
2,128,119,3,"[[128,119,3]]_2",0.75,0.75,0.014149606614884513,0.014149606614884513,0.0,False,True
2,128,126,2,"[[128,126,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,129,120,3,"[[129,120,3]]_2",0.7459086993970715,0.7596899224806202,0.006759584992714118,0.006909709137278841,0.00015012414456472278,True,False
2,130,121,3,"[[130,121,3]]_2",0.7461538461538462,0.7769230769230769,0.003257020567541291,0.004658585885871536,0.0014015653183302446,True,False
2,130,128,2,"[[130,128,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,131,122,3,"[[131,122,3]]_2",0.7480916030534351,0.7557251908396947,0.00800727727780004,0.00806365981612378,5.6382538323740405e-05,True,False
2,132,123,3,"[[132,123,3]]_2",0.7483164983164983,0.7878787878787878,0.003290804358438537,0.006147272322770347,0.0028564679643318103,True,False
2,132,130,2,"[[132,130,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,133,124,3,"[[133,124,3]]_2",0.7502088554720133,0.7744360902255639,0.004191725377365008,0.005366719168465428,0.0011749937911004205,True,False
2,134,125,3,"[[134,125,3]]_2",0.7504145936981758,0.7686567164179104,0.005871153009088248,0.006551982044042837,0.0006808290349545887,True,False
2,134,132,2,"[[134,132,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,135,126,3,"[[135,126,3]]_2",0.7555555555555555,0.7703703703703704,0.005615838666432893,0.006369544174962272,0.0007537055085293787,True,False
2,136,127,3,"[[136,127,3]]_2",0.7434640522875817,0.75,0.006540134948786136,0.0064584319388898415,-8.170300989629453e-05,False,False
2,136,134,2,"[[136,134,2]]_2",1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,True
2,137,128,3,"[[137,128,3]]_2",0.7510137875101378,0.7737226277372263,0.0025192731328785856,0.0036239854531483484,0.0011047123202697628,True,False
2,138,129,3,"[[138,129,3]]_2",0.7383252818035426,0.7681159420289855,0.005099574746220692,0.005481952728771389,0.00038237798255069677,True,False
2,138,136,2,"[[138,136,2]]_2",1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,True
2,139,130,3,"[[139,130,3]]_2",0.7442046362909672,0.762589928057554,0.004792021198889995,0.005036160343296792,0.0002441391444067964,True,False
2,140,131,3,"[[140,131,3]]_2",0.75,0.7571428571428571,0.006208338600462993,0.00630711480572288,9.877620525988728e-05,True,False
2,140,138,2,"[[140,138,2]]_2",1.0,1.0,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,True,True
2,141,132,3,"[[141,132,3]]_2",0.7549251379038613,0.7659574468085106,0.00570933273877039,0.006159505964409617,0.0004501732256392277,True,False
2,142,133,3,"[[142,133,3]]_2",0.7441314553990611,0.7676056338028169,0.003578035765126497,0.004118092529992401,0.0005400567648659038,True,False
2,142,140,2,"[[142,140,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,143,134,3,"[[143,134,3]]_2",0.7397047397047397,0.7622377622377622,0.0060268533864459295,0.0061160977937220196,8.924440727609007e-05,True,False
2,144,135,3,"[[144,135,3]]_2",0.7438271604938271,0.7708333333333334,0.004404102675777288,0.005182346095665813,0.0007782434198885246,True,False
2,144,142,2,"[[144,142,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,145,136,3,"[[145,136,3]]_2",0.7478927203065134,0.7655172413793103,0.004579237969165373,0.005040512395111496,0.0004612744259461232,True,False
2,146,137,3,"[[146,137,3]]_2",0.7397260273972602,0.7671232876712328,0.005772679707143902,0.006144399315252569,0.0003717196081086671,True,False
