Stage-1 undetected error set U_3
size = 11186   (weights 1/2/3/4 = 14/119/1148/9905)
  E526    = IIXIIIIYIIIIIX
  E527    = IIYIIIIYIIIIIX
  E528    = IIZIIIIYIIIIIX
  E529    = IIXIIIIIXXIIII
  E530    = IIYIIIIIXXIIII
  E531    = IIZIIIIIXXIIII
  E532    = IIXIIIIIYYIIII
  E533    = IIYIIIIIYYIIII
  E534    = IIZIIIIIYYIIII
  E535    = IIXIIIIIZZIIII
  E536    = IIYIIIIIZZIIII
  E537    = IIZIIIIIZZIIII
  E538    = IIXIIIIIZIZIII
  E539    = IIYIIIIIZIZIII
  E540    = IIZIIIIIZIZIII
  E541    = IIXIIIIIZIIZII
  E542    = IIYIIIIIZIIZII
  E543    = IIZIIIIIZIIZII
  E544    = IIXIIIIIXIIIXI
  E545    = IIYIIIIIXIIIXI
  E546    = IIZIIIIIXIIIXI
  E547    = IIXIIIIIYIIIIX
  E548    = IIYIIIIIYIIIIX
  E549    = IIZIIIIIYIIIIX
  E550    = IIXIIIIIIZZIII
  E551    = IIYIIIIIIZZIII
  E552    = IIZIIIIIIZZIII
  E553    = IIXIIIIIIZIZII
  E554    = IIYIIIIIIZIZII
  E555    = IIZIIIIIIZIZII
  E556    = IIXIIIIIIXIIXI
  E557    = IIYIIIIIIXIIXI
  E558    = IIZIIIIIIXIIXI
  E559    = IIXIIIIIIYIIIX
  E560    = IIYIIIIIIYIIIX
  E561    = IIZIIIIIIYIIIX
  E562    = IIXIIIIIIIXXII
  E563    = IIYIIIIIIIXXII
  E564    = IIZIIIIIIIXXII
  E565    = IIXIIIIIIIYYII
  E566    = IIYIIIIIIIYYII
  E567    = IIZIIIIIIIYYII
  E568    = IIXIIIIIIIZZII
  E569    = IIYIIIIIIIZZII
  E570    = IIZIIIIIIIZZII
  E571    = IIXIIIIIIIYIYI
  E572    = IIYIIIIIIIYIYI
  E573    = IIZIIIIIIIYIYI
  E574    = IIXIIIIIIIYIIY
  E575    = IIYIIIIIIIYIIY
